Fecha;pm25;so2;ws;wd
180523;19;8,66;1,409668417;153,054925
180524;33;12,26;1,632779917;133,3138833
180525;34;9,84;1,526561417;155,612525
180526;20;8,04;1,215614504;161,0251083
180527;22;7,88;1,783029083;150,0408375
180528;18;9,14;1,121009292;140,7599888
180529;8;3,68;1,669499083;139,0813708
180530;9;5,63;2,490611792;214,1501667
180531;7;11,92;3,350914583;195,184875
180601;16;6,1;1,898062583;140,4787708
180602;23;6,31;2,424583583;138,4483708
180603;19;8,38;2,267495542;147,4479042
180604;20;10,63;1,398120417;123,7528042
180605;26;13,84;1,525356875;130,0131875
180606;26;19,2;1,868596917;191,8451917
180607;25;21,68;1,213392917;185,1378633
180608;22;20,15;1,355110792;156,3601917
180609;7;2,68;3,131065875;136,726825
180610;4;2,29;3,21490125;120,4018667
180611;26;2,37;2,109530833;64,88415625
180612;11;10,72;2,150440042;149,6409125
180613;19;8,42;1,76498075;150,2869625
180614;21;9,27;1,786737167;145,4492833
180615;24;14;1,0776005;94,29705417
180616;22;11,17;1,473163833;104,9069929
180617;15;8,97;0,606271042;122,6722833
180618;17;28,82;0,791451708;124,8192458
180619;16;6,59;1,139178708;113,0658958
180620;24;8,28;1,271039125;146,1872417
180621;19;8,11;1,744450292;133,1858667
180622;19;11,72;1,544135;149,855525
180623;21;6,25;1,048060625;107,9942042
180624;13;3,84;1,560162792;145,8397083
180625;20;5,62;1,446143458;153,193725
180626;21;8,22;1,495470292;121,1961217
180627;26;14,56;1,469977625;128,4060383
180628;11;2,93;1,50896925;129,0304263
180629;20;15,5;1,027115125;130,4563233
180630;13;2,98;1,482389583;76,39794167
180701;17;2,69;1,716846958;89,30005417
180702;8;4,36;1,826115458;151,3795583
180703;8;3,29;1,973289458;140,9950083
180704;3;2,1;3,409697083;59,84655833
180705;5;2,25;2,674705125;132,7986042
180706;7;2,47;2,484219542;146,286175
180707;13;15,5;1,483040833;167,5782917
180708;14;5,9;1,325371917;153,2212417
180709;15;6,3;1,011318542;93,93491667
180710;10;3,4;1,190981625;53,92077083
180711;;7,66;1,7118935;160,1260708
180712;32;7,9;1,400873917;138,2497667
180713;38;7,72;1,629451542;143,6841125
180714;15;11,96;1,440698958;164,519625
180715;18;5,5;1,70005305;195,6422
180716;27;7,05;0,9369958;136,062125
180717;14;6,1;1,720533958;185,9239375
180718;13;10,63;2,086490417;163,7796167
180719;24;6,21;2,420734125;144,8040083
180720;26;14,82;1,85135175;167,1605958
180721;27;7,77;1,651867542;167,9237738
180722;18;17,5;3,158136;187,1251833
180723;27;11,76;1,570523042;165,0779458
180724;28;1,92;1,832370875;116,6902
180725;23;4,36;1,650080292;125,3275479
180726;27;4,12;1,211686958;166,989225
180727;17;1,42;1,729963208;101,4041542
180728;15;6,4;2,186324958;146,5887083
180729;17;7,72;1,913351125;132,2565125
180730;18;6;1,813072292;138,0515525
180731;20;5,9;1,892279208;136,8754792
180801;21;3,2;1,369036958;138,4124917
180802;20;1,87;1,237324917;132,6604208
180803;30;11,48;1,850421833;161,83245
180804;32;7,07;1,601729875;157,9020333
180805;26;7,26;1,58678325;128,1829417
180806;19;9,32;1,413804875;149,3833042
180807;;;1,078982292;85,281325
180808;;;0,243472417;7,090604167
180809;20;7,9;1,363140625;135,7367125
180810;25;18,4;1,48147375;154,1511208
180811;31;10,28;1,308756458;164,5397708
180812;20;15,05;1,552953667;191,085825
